window_length_s,window_overlap,std_activity_threshold,mean_activity_threshold,acc_v_standing_threshold,sin_template_freq_hz,allowed_acc_v_change_per_window,min_gsd_duration_s,use_original_peak_detection,objective_val
4.084443440871048,0.24674783189293106,2.796910002727695,0.1937003158929742,-1.083344942928175,1.8997742423620263,0.9184978380068453,4.003377500251197,True,1000000.0
3.4289981282698383,0.14512926322168024,2.2199877226682485,0.8771054180315008,-9.984424683179713,9.929904033620959,1.2349630575072823,6.504878444394529,True,1000000.0
0.6037809126863709,0.5198197282067114,-1.001390282847444,-0.9066686735727691,9.475110376829189,3.0949420638727387,0.18121296000499817,6.5654740839977865,True,1000000.0
4.924538986130548,0.473410314598384,3.599404067363208,0.36061507717555963,-0.9900149606091375,1.1193846504387988,1.8844035171495304,6.069593960609854,True,1000000.0
0.5718481349909639,0.2847150604977192,-2.589745339739882,0.36652703765091665,2.1999331556524204,8.498754205625481,0.34672938967907885,4.519545468159168,True,1000000.0
3.899126346429437,0.4401246995929958,-2.920583371318111,0.13540065563998316,-9.373734150888827,8.58056297135499,0.8995083217641181,4.556352124016331,False,1000000.0
3.7727239813538946,0.3612326150446684,0.7044397440539951,0.04166852005164756,9.223440486986988,8.600804638103366,1.494640245542751,5.857229191501719,False,1000000.0
4.843648882688622,0.5856273981493478,-2.240008179774566,-0.4074529885918351,-6.69466121873995,1.1407276606707455,0.8468030190725914,4.553933663580128,True,673.31
0.56335920221788,0.25907392327104417,2.113419527486501,0.5803510810624117,2.1191994956202294,9.336707906620143,1.3021540858961866,9.234637079894028,False,1000000.0
2.522528033621916,0.1763280931923291,-1.291817478017336,0.3376825053272148,3.3184471323499345,6.321680089369545,0.5494436585079491,6.051190832629311,True,1000000.0
5.0,0.7815836406751714,-5.0,-0.07497942585709938,-10.0,1.0,1.7436285949622028,2.6741857523946786,True,718.34
4.933886563261756,0.5992125457710852,-2.3554256816900496,-0.39711073715191925,-6.959011473635114,1.1030174883129975,0.8989559391013149,4.539056181277377,True,648.2299999999999
5.0,0.5310543147943454,-3.1643110857458163,-0.9549868881049016,-10.0,1.0,0.054997830589156055,5.964909951761779,True,723.14
4.99384394186432,0.9,-4.047340746935741,1.0,-5.705424000285239,1.0,2.0,1.0,False,1000000.0
4.891627593835942,0.5916454441085732,-2.39439685814107,-0.4560540252073664,-7.172986492976875,1.557770990174152,0.7960782443432836,4.677247168565096,True,674.1499999999999
4.895159079124612,0.6032402615243367,-2.415108156047405,-0.39770977599852964,-7.212302508922477,1.0935315333919118,0.8849505838381863,4.326476336412078,True,633.4300000000001
5.0,0.6053144887155513,-4.695433238761684,-0.6234325895568282,-10.0,1.0,0.6608054812529077,5.358011180190463,True,660.24
4.899625452466569,0.5810695961488931,-2.444514626705149,-0.4431590419451683,-7.649456367549845,1.0533425395597633,0.7164528737150896,4.556419388592499,True,564.04
4.8987076538045295,0.641564209526509,-2.469483365901397,-0.6364734697677041,-6.421855610537239,1.0280148347343585,0.9552353268726833,5.372993842526841,True,636.96
4.90294209099722,0.5569362250308225,-2.4975628594102877,-0.2074092149747132,-9.421534235190663,1.0,0.28550893220970136,2.738950778625207,True,653.1800000000001
4.900601492551762,0.4493752702619813,-2.478165837662219,-0.824909769507595,-3.145958787177248,1.0,1.6634978516779457,8.36753082717948,True,684.75
4.907169379491586,0.6519077754081046,-2.508606801736895,-0.46422285696778964,-10.0,1.0,0.1284637677545479,1.263294668110746,True,670.73
4.8996210037742225,0.862789645453941,-2.450352090510158,0.2766396294501432,-10.0,1.4574910407997137,0.2725285888685224,6.880619500827955,True,1000000.0
5.0,0.7306043775072029,-4.614904041590464,-0.09195737197318732,-10.0,1.0237483014174,1.6208561118371008,2.1056840200604627,True,662.7199999999999
5.0,0.7840266196575411,-4.9440575741291655,-0.09300688924696632,-10.0,1.0,1.817672933368021,2.7905857159651326,True,671.95
4.922786419056119,0.5469393061518314,-2.575898639267635,-0.2182758808363322,-10.0,1.0,0.05513581755171633,2.7507267512018503,True,674.47
